0.25000000E+02 0.74375000E+02 0.00000000E+00 0.00000000E+00
 0.74375000E+02 0.12375000E+03 0.71808983E-01 0.19816697E-02
 0.12375000E+03 0.17312500E+03 0.18741436E+00 0.31826071E-02
 0.17312500E+03 0.22250000E+03 0.24234176E+00 0.36089490E-02
 0.22250000E+03 0.27187500E+03 0.27875450E+00 0.38638159E-02
 0.27187500E+03 0.32125000E+03 0.28999048E+00 0.39386463E-02
 0.32125000E+03 0.37062500E+03 0.29012610E+00 0.39393256E-02
 0.37062500E+03 0.42000000E+03 0.28930094E+00 0.39338495E-02
 0.42000000E+03 0.46937500E+03 0.28028906E+00 0.38737334E-02
 0.46937500E+03 0.51875000E+03 0.26512948E+00 0.37706863E-02
 0.51875000E+03 0.56812500E+03 0.25489777E+00 0.36988472E-02
 0.56812500E+03 0.61750000E+03 0.24258559E+00 0.36108997E-02
 0.61750000E+03 0.66687500E+03 0.22825735E+00 0.35056890E-02
 0.66687500E+03 0.71625000E+03 0.21280293E+00 0.33872705E-02
 0.71625000E+03 0.76562500E+03 0.19459098E+00 0.32411011E-02
 0.76562500E+03 0.81500000E+03 0.18513556E+00 0.31633642E-02
 0.81500000E+03 0.86437500E+03 0.17421947E+00 0.30716183E-02
 0.86437500E+03 0.91375000E+03 0.16117137E+00 0.29554146E-02
 0.91375000E+03 0.96312500E+03 0.14556411E+00 0.28114816E-02
 0.96312500E+03 0.10125000E+04 0.14241343E+00 0.27811457E-02
 0.10125000E+04 0.10618750E+04 0.12498619E+00 0.26068636E-02
 0.10618750E+04 0.11112500E+04 0.11943368E+00 0.25489714E-02
 0.11112500E+04 0.11606250E+04 0.11941985E+00 0.25493697E-02
 0.11606250E+04 0.12100000E+04 0.11161274E+00 0.24656001E-02
 0.12100000E+04 0.12593750E+04 0.10225530E+00 0.23608370E-02
 0.12593750E+04 0.13087500E+04 0.96088353E-01 0.22899621E-02
 0.13087500E+04 0.13581250E+04 0.87320572E-01 0.21835415E-02
 0.13581250E+04 0.14075000E+04 0.84494297E-01 0.21478238E-02
 0.14075000E+04 0.14568750E+04 0.76079346E-01 0.20389115E-02
 0.14568750E+04 0.15062500E+04 0.68159173E-01 0.19306702E-02
 0.15062500E+04 0.15556250E+04 0.69081956E-01 0.19442274E-02
 0.15556250E+04 0.16050000E+04 0.63417577E-01 0.18633860E-02
 0.16050000E+04 0.16543750E+04 0.58411582E-01 0.17898585E-02
 0.16543750E+04 0.17037500E+04 0.54373930E-01 0.17259050E-02
 0.17037500E+04 0.17531250E+04 0.51642084E-01 0.16827675E-02
 0.17531250E+04 0.18025000E+04 0.48364094E-01 0.16279454E-02
 0.18025000E+04 0.18518750E+04 0.41278594E-01 0.15046255E-02
 0.18518750E+04 0.19012500E+04 0.42043618E-01 0.15183256E-02
 0.19012500E+04 0.19506250E+04 0.36242683E-01 0.14122695E-02
 0.19506250E+04 0.20000000E+04 0.33471615E-01 0.13557391E-02
