# ./gen_qed_grid -in masters-LUXqed17_PDF4LHC15_nnlo_100/LUXqed17_PDF4LHC15_nnlo_100-mu2-10000-imem-75.dat -Qlo 10 -option 5 -mt 1e9 -iy-inc -1 -pdftype error -out lhapdf-grids/LUXqed17_plus_PDF4LHC15_nnlo_100/LUXqed17_plus_PDF4LHC15_nnlo_100_0075.dat
# Stamped by ./gen_qed_grid on  1/08/2017 at 14:07:35
# option =   5, gluon_momadjust_power =   0.000
 # using LHAPDF, pdf = PDF4LHC15_nnlo_100, imem =           75
 # Qphoton =    100.00000000000000     
# charm mass = 1.2750000E+00, charm_scheme_is_msbar = F
# bottom mass = 4.1799998E+00, bottom_scheme_is_msbar = F
# top mass = 1.0000000E+09, top_scheme_is_msbar = F
 # nloop_qcd =            3
 # nqcdloop_qed =            1
 # 1/QED coupling at MZ =    128.56395142294423     
 # QCD coupling at MZ =   0.11800230075848538     
# ymax =  14.000000,  dy =  0.100000
 # Qlo =   10.000000000000000      , Qhi =    100000.00000000000     
# before readjustments: mom_photon =    0.0031856, mom_gluon =    0.4554122, mom_weighted_gluon =    0.4554122
# total momentum  (final) at Qlo (& components) 1.0000116 0.0000000 0.0048594 0.0138616 0.0223509 0.0337826 0.0385625 0.4522265 0.1313512 0.2565967 0.0245832 0.0138017 0.0048498 0.0000000 0.0000000 0.0031856 0.0000000 0.0000000 0.0000000
# total number  (final) at Qlo (& components)  2.9946492  0.9975478  1.9967465  0.0005063 -0.0001301 -0.0000213  0.0000000
# description = Photon generated at scale   100.0 GeV, other partons matched at scale    10.0 GeV, photon momentum absorbed by adjusting g(x) -> g(x) -  0.00700 * x^{0.000} g(x) at scale     10.0 GeV
# iy_increment =   -1
# dzeta_def =    0.30000, zeta_a =   10.00000, zeta_b =    5.00000
PdfType: error
Format: lhagrid1
---
 8.3152872E-07 1.1212865E-06 1.5120128E-06 2.0388898E-06 2.7493577E-06 3.7073848E-06 4.9992245E-06 6.7411758E-06 9.0900451E-06 1.2257245E-05 1.6527794E-05 2.2285915E-05 3.0049506E-05 4.0516550E-05 5.4627554E-05 7.3649487E-05 9.9288502E-05 1.3384109E-04 1.8039640E-04 2.4310624E-04 3.2754425E-04 4.4118124E-04 5.9401019E-04 7.9936044E-04 1.0749453E-03 1.4441868E-03 1.9378493E-03 2.5959859E-03 3.4701362E-03 4.6256093E-03 6.1435207E-03 8.1220430E-03 1.0676124E-02 1.3934832E-02 1.8035677E-02 2.3115844E-02 2.9301267E-02 3.6695443E-02 4.5370399E-02 5.5361774E-02 6.6668768E-02 7.9258282E-02 9.3071636E-02 1.0803208E-01 1.2405167E-01 1.4103685E-01 1.5889232E-01 1.7752363E-01 1.9683852E-01 2.1674753E-01 2.3716418E-01 2.5800482E-01 2.7918855E-01 3.0063709E-01 3.2227485E-01 3.4402909E-01 3.6583026E-01 3.8761244E-01 4.0931381E-01 4.3087716E-01 4.5225035E-01 4.7338666E-01 4.9424503E-01 5.1479017E-01 5.3499251E-01 5.5482802E-01 5.7427791E-01 5.9332826E-01 6.1196956E-01 6.3019625E-01 6.4800619E-01 6.6540022E-01 6.8238165E-01 6.9895587E-01 7.1512993E-01 7.3091218E-01 7.4631202E-01 7.6133955E-01 7.7600544E-01 7.9032067E-01 8.0429639E-01 8.1794382E-01 8.3127410E-01 8.4429826E-01 8.5702710E-01 8.6947121E-01 8.8164084E-01 8.9354598E-01 9.0519626E-01 9.1660096E-01 9.2776904E-01 9.3870909E-01 9.4942938E-01 9.5993782E-01 9.7024199E-01 9.8034916E-01 9.9026628E-01 1.0000000E+00
 1.0000000E+01 1.1234806E+01 1.2659297E+01 1.4307519E+01 1.6220454E+01 1.8447586E+01 2.1048871E+01 2.4097196E+01 2.7681476E+01 3.1910572E+01 3.6918243E+01 4.2869461E+01 4.9968470E+01 5.8469126E+01 6.8688212E+01 8.1022659E+01 9.5971915E+01 1.1416713E+02 1.3640937E+02 1.6372003E+02 1.9740732E+02 2.3915485E+02 2.9113982E+02 3.5619166E+02 4.3800614E+02 5.4143578E+02 6.7288588E+02 8.4085756E+02 1.0566967E+03 1.3356326E+03 1.6982275E+03 2.1724107E+03 2.7963523E+03 3.6225477E+03 4.7236606E+03 6.2009390E+03 8.1964185E+03 1.0910740E+04 1.4629356E+04 1.9761344E+04 2.6897347E+04 3.6896708E+04 5.1019543E+04 7.1128563E+04 1.0000000E+05
  -5  -4  -3  -2  -1  21   1   2   3   4   5  22
  2.0405861E+00  4.6219846E+00  5.7081669E+00  5.8097764E+00  5.8909561E+00  1.0487402E+02  5.8919336E+00  5.8111649E+00  5.7082038E+00  4.6220411E+00  2.0405953E+00  2.8085327E-01
  2.4325469E+00  5.0006714E+00  6.0827337E+00  6.1843766E+00  6.2649126E+00  1.1576429E+02  6.2659094E+00  6.1857973E+00  6.0827710E+00  5.0007299E+00  2.4325577E+00  3.0211941E-01
  2.8478575E+00  5.4028656E+00  6.4808645E+00  6.5825323E+00  6.6624402E+00  1.2754136E+02  6.6634563E+00  6.5839855E+00  6.4809022E+00  5.4029263E+00  2.8478698E+00  3.2526396E-01
  3.2877267E+00  5.8297696E+00  6.9037609E+00  7.0054440E+00  7.0847401E+00  1.4024454E+02  7.0857755E+00  7.0069298E+00  6.9037988E+00  5.8298323E+00  3.2877405E+00  3.5043111E-01
  3.7533970E+00  6.2826191E+00  7.3526581E+00  7.4543456E+00  7.5330473E+00  1.5391352E+02  7.5341023E+00  7.4558644E+00  7.3526962E+00  6.2826837E+00  3.7534122E+00  3.7777518E-01
  4.2461447E+00  6.7626838E+00  7.8288255E+00  7.9305053E+00  8.0086312E+00  1.6858843E+02  8.0097057E+00  7.9320573E+00  7.8288638E+00  6.7627504E+00  4.2461613E+00  4.0746130E-01
  4.7672799E+00  7.2712674E+00  8.3335669E+00  8.4352251E+00  8.5127950E+00  1.8430976E+02  8.5138893E+00  8.4368106E+00  8.3336052E+00  7.2713358E+00  4.7672979E+00  4.3966605E-01
  5.3181470E+00  7.8097075E+00  8.8682202E+00  8.9698412E+00  9.0468767E+00  2.0111839E+02  9.0479908E+00  8.9714605E+00  8.8682586E+00  7.8097778E+00  5.3181662E+00  4.7457820E-01
  5.9001242E+00  8.3793760E+00  9.4341579E+00  9.5357241E+00  9.6122485E+00  2.1905552E+02  9.6133826E+00  9.5373774E+00  9.4341962E+00  8.3794481E+00  5.9001448E+00  5.1239942E-01
  6.5146243E+00  8.9816789E+00  1.0032787E+01  1.0134278E+01  1.0210317E+01  2.3816267E+02  1.0211471E+01  1.0135966E+01  1.0032825E+01  8.9817527E+00  6.5146461E+00  5.5334509E-01
  7.1630938E+00  9.6180561E+00  1.0665548E+01  1.0766942E+01  1.0842524E+01  2.5848164E+02  1.0843698E+01  1.0768665E+01  1.0665586E+01  9.6181316E+00  7.1631168E+00  5.9764515E-01
  7.8470136E+00  1.0289981E+01  1.1333917E+01  1.1435189E+01  1.1510343E+01  2.8005448E+02  1.1511538E+01  1.1436946E+01  1.1333955E+01  1.0290059E+01  7.8470377E+00  6.4554495E-01
  8.5678982E+00  1.0998963E+01  1.2039404E+01  1.2140525E+01  1.2215286E+01  3.0292344E+02  1.2216501E+01  1.2142317E+01  1.2039442E+01  1.0999042E+01  8.5679234E+00  6.9730618E-01
  9.3272961E+00  1.1746541E+01  1.2783553E+01  1.2884490E+01  1.2958894E+01  3.2713099E+02  1.2960130E+01  1.2886318E+01  1.2783590E+01  1.1746622E+01  9.3273224E+00  7.5320784E-01
  1.0126789E+01  1.2534292E+01  1.3567939E+01  1.3668657E+01  1.3742746E+01  3.5271971E+02  1.3744003E+01  1.3670521E+01  1.3567976E+01  1.2534374E+01  1.0126817E+01  8.1354730E-01
  1.0967993E+01  1.3363822E+01  1.4394176E+01  1.4494634E+01  1.4568452E+01  3.7973232E+02  1.4569730E+01  1.4496535E+01  1.4394212E+01  1.3363905E+01  1.0968021E+01  8.7864132E-01
  1.1852555E+01  1.4236771E+01  1.5263905E+01  1.5364059E+01  1.5437656E+01  4.0821162E+02  1.5438956E+01  1.5365997E+01  1.5263941E+01  1.4236856E+01  1.1852584E+01  9.4882725E-01
  1.2782156E+01  1.5154813E+01  1.6178805E+01  1.6278604E+01  1.6352035E+01  4.3820044E+02  1.6353356E+01  1.6280579E+01  1.6178841E+01  1.5154899E+01  1.2782186E+01  1.0244642E+00
  1.3758509E+01  1.6119651E+01  1.7140584E+01  1.7239973E+01  1.7313297E+01  4.6974163E+02  1.7314639E+01  1.7241985E+01  1.7140619E+01  1.6119739E+01  1.3758541E+01  1.1059342E+00
