# ./gen_qed_grid -in masters-LUXqed17_PDF4LHC15_nnlo_100/LUXqed17_PDF4LHC15_nnlo_100-mu2-10000-imem-62.dat -Qlo 10 -option 5 -mt 1e9 -iy-inc -1 -pdftype error -out lhapdf-grids/LUXqed17_plus_PDF4LHC15_nnlo_100/LUXqed17_plus_PDF4LHC15_nnlo_100_0062.dat
# Stamped by ./gen_qed_grid on  1/08/2017 at 14:07:23
# option =   5, gluon_momadjust_power =   0.000
 # using LHAPDF, pdf = PDF4LHC15_nnlo_100, imem =           62
 # Qphoton =    100.00000000000000     
# charm mass = 1.2750000E+00, charm_scheme_is_msbar = F
# bottom mass = 4.1799998E+00, bottom_scheme_is_msbar = F
# top mass = 1.0000000E+09, top_scheme_is_msbar = F
 # nloop_qcd =            3
 # nqcdloop_qed =            1
 # 1/QED coupling at MZ =    128.56395142294423     
 # QCD coupling at MZ =   0.11800230075848538     
# ymax =  14.000000,  dy =  0.100000
 # Qlo =   10.000000000000000      , Qhi =    100000.00000000000     
# before readjustments: mom_photon =    0.0031860, mom_gluon =    0.4554722, mom_weighted_gluon =    0.4554722
# total momentum  (final) at Qlo (& components) 1.0001881 0.0000000 0.0048527 0.0138552 0.0224120 0.0338400 0.0385901 0.4522862 0.1312660 0.2567133 0.0245483 0.0137954 0.0048431 0.0000000 0.0000000 0.0031860 0.0000000 0.0000000 0.0000000
# total number  (final) at Qlo (& components)  2.9946070  0.9975018  1.9969225  0.0003342 -0.0001301 -0.0000214  0.0000000
# description = Photon generated at scale   100.0 GeV, other partons matched at scale    10.0 GeV, photon momentum absorbed by adjusting g(x) -> g(x) -  0.00699 * x^{0.000} g(x) at scale     10.0 GeV
# iy_increment =   -1
# dzeta_def =    0.30000, zeta_a =   10.00000, zeta_b =    5.00000
PdfType: error
Format: lhagrid1
---
 8.3152872E-07 1.1212865E-06 1.5120128E-06 2.0388898E-06 2.7493577E-06 3.7073848E-06 4.9992245E-06 6.7411758E-06 9.0900451E-06 1.2257245E-05 1.6527794E-05 2.2285915E-05 3.0049506E-05 4.0516550E-05 5.4627554E-05 7.3649487E-05 9.9288502E-05 1.3384109E-04 1.8039640E-04 2.4310624E-04 3.2754425E-04 4.4118124E-04 5.9401019E-04 7.9936044E-04 1.0749453E-03 1.4441868E-03 1.9378493E-03 2.5959859E-03 3.4701362E-03 4.6256093E-03 6.1435207E-03 8.1220430E-03 1.0676124E-02 1.3934832E-02 1.8035677E-02 2.3115844E-02 2.9301267E-02 3.6695443E-02 4.5370399E-02 5.5361774E-02 6.6668768E-02 7.9258282E-02 9.3071636E-02 1.0803208E-01 1.2405167E-01 1.4103685E-01 1.5889232E-01 1.7752363E-01 1.9683852E-01 2.1674753E-01 2.3716418E-01 2.5800482E-01 2.7918855E-01 3.0063709E-01 3.2227485E-01 3.4402909E-01 3.6583026E-01 3.8761244E-01 4.0931381E-01 4.3087716E-01 4.5225035E-01 4.7338666E-01 4.9424503E-01 5.1479017E-01 5.3499251E-01 5.5482802E-01 5.7427791E-01 5.9332826E-01 6.1196956E-01 6.3019625E-01 6.4800619E-01 6.6540022E-01 6.8238165E-01 6.9895587E-01 7.1512993E-01 7.3091218E-01 7.4631202E-01 7.6133955E-01 7.7600544E-01 7.9032067E-01 8.0429639E-01 8.1794382E-01 8.3127410E-01 8.4429826E-01 8.5702710E-01 8.6947121E-01 8.8164084E-01 8.9354598E-01 9.0519626E-01 9.1660096E-01 9.2776904E-01 9.3870909E-01 9.4942938E-01 9.5993782E-01 9.7024199E-01 9.8034916E-01 9.9026628E-01 1.0000000E+00
 1.0000000E+01 1.1234806E+01 1.2659297E+01 1.4307519E+01 1.6220454E+01 1.8447586E+01 2.1048871E+01 2.4097196E+01 2.7681476E+01 3.1910572E+01 3.6918243E+01 4.2869461E+01 4.9968470E+01 5.8469126E+01 6.8688212E+01 8.1022659E+01 9.5971915E+01 1.1416713E+02 1.3640937E+02 1.6372003E+02 1.9740732E+02 2.3915485E+02 2.9113982E+02 3.5619166E+02 4.3800614E+02 5.4143578E+02 6.7288588E+02 8.4085756E+02 1.0566967E+03 1.3356326E+03 1.6982275E+03 2.1724107E+03 2.7963523E+03 3.6225477E+03 4.7236606E+03 6.2009390E+03 8.1964185E+03 1.0910740E+04 1.4629356E+04 1.9761344E+04 2.6897347E+04 3.6896708E+04 5.1019543E+04 7.1128563E+04 1.0000000E+05
  -5  -4  -3  -2  -1  21   1   2   3   4   5  22
  2.0243697E+00  4.5735167E+00  5.7115933E+00  5.8226465E+00  5.8799147E+00  1.0372608E+02  5.8807924E+00  5.8239927E+00  5.7117587E+00  4.5735728E+00  2.0243788E+00  2.8108153E-01
  2.4159412E+00  4.9524458E+00  6.0859598E+00  6.1969044E+00  6.2538813E+00  1.1466817E+02  6.2547778E+00  6.1982840E+00  6.0861256E+00  4.9525040E+00  2.4159519E+00  3.0235549E-01
  2.8309127E+00  5.3549187E+00  6.4839290E+00  6.5947591E+00  6.6514537E+00  1.2649523E+02  6.6523693E+00  6.5961723E+00  6.4840950E+00  5.3549790E+00  2.8309249E+00  3.2550797E-01
  3.2704905E+00  5.7821353E+00  6.9067001E+00  7.0174084E+00  7.0738311E+00  1.3924662E+02  7.0747658E+00  7.0188555E+00  6.9068662E+00  5.7821977E+00  3.2705042E+00  3.5068317E-01
  3.7359145E+00  6.2353296E+00  7.3555062E+00  7.4660844E+00  7.5222465E+00  1.5296212E+02  7.5232004E+00  7.4675656E+00  7.3556725E+00  6.2353939E+00  3.7359297E+00  3.7803548E-01
  4.2284588E+00  6.7157690E+00  7.8316149E+00  7.9420530E+00  7.9979673E+00  1.6768190E+02  7.9989405E+00  7.9435686E+00  7.8317811E+00  6.7158353E+00  4.2284753E+00  4.0773003E-01
  4.7494311E+00  7.2247556E+00  8.3363279E+00  8.4466143E+00  8.5022951E+00  1.8344655E+02  8.5032878E+00  8.4481646E+00  8.3364940E+00  7.2248237E+00  4.7494490E+00  4.3994346E-01
  5.3001739E+00  7.7636253E+00  8.8709815E+00  8.9811028E+00  9.0365662E+00  2.0029699E+02  9.0375785E+00  8.9826880E+00  8.8711475E+00  7.7636952E+00  5.3001931E+00  4.7486454E-01
  5.8820635E+00  8.3337483E+00  9.4369465E+00  9.5468872E+00  9.6021513E+00  2.1827449E+02  9.6031833E+00  9.5485077E+00  9.4371124E+00  8.3338201E+00  5.8820840E+00  5.1269499E-01
  6.4965107E+00  8.9365292E+00  1.0035628E+01  1.0145370E+01  1.0200456E+01  2.3742065E+02  1.0201508E+01  1.0147026E+01  1.0035794E+01  8.9366027E+00  6.4965324E+00  5.5365023E-01
  7.1449605E+00  9.5734065E+00  1.0668467E+01  1.0777990E+01  1.0832919E+01  2.5777730E+02  1.0833991E+01  1.0779682E+01  1.0668632E+01  9.5734817E+00  7.1449834E+00  5.9796023E-01
  7.8288919E+00  1.0245853E+01  1.1336936E+01  1.1446216E+01  1.1501015E+01  2.7938657E+02  1.1502107E+01  1.1447945E+01  1.1337101E+01  1.0245930E+01  7.8289159E+00  6.4587037E-01
  8.5498181E+00  1.0955375E+01  1.2042544E+01  1.2151555E+01  1.2206253E+01  3.0229077E+02  1.2207366E+01  1.2153320E+01  1.2042709E+01  1.0955453E+01  8.5498433E+00  6.9764239E-01
  9.3092861E+00  1.1703512E+01  1.2786835E+01  1.2895546E+01  1.2950175E+01  3.2653240E+02  1.2951308E+01  1.2897348E+01  1.2786998E+01  1.1703592E+01  9.3093124E+00  7.5355534E-01
  1.0108876E+01  1.2491839E+01  1.3571383E+01  1.3679760E+01  1.3734357E+01  3.5215412E+02  1.3735510E+01  1.3681599E+01  1.3571546E+01  1.2491920E+01  1.0108904E+01  8.1390661E-01
  1.0950203E+01  1.3321961E+01  1.4397798E+01  1.4505804E+01  1.4560408E+01  3.7919868E+02  1.4561583E+01  1.4507681E+01  1.4397961E+01  1.3322044E+01  1.0950232E+01  8.7901302E-01
  1.1834913E+01  1.4195519E+01  1.5267725E+01  1.5375315E+01  1.5429972E+01  4.0770893E+02  1.5431168E+01  1.5377230E+01  1.5267887E+01  1.4195603E+01  1.1834942E+01  9.4921197E-01
  1.2764686E+01  1.5114183E+01  1.6182838E+01  1.6289964E+01  1.6344725E+01  4.3772776E+02  1.6345942E+01  1.6291917E+01  1.6182999E+01  1.5114269E+01  1.2764716E+01  1.0248626E+00
  1.3741233E+01  1.6079657E+01  1.7144846E+01  1.7251454E+01  1.7306375E+01  4.6929807E+02  1.7307613E+01  1.7253446E+01  1.7145006E+01  1.6079745E+01  1.3741265E+01  1.1063471E+00
