PdfType: replica
Format: lhagrid1
---
2.34594648064000e+11 9.22734690304000e+11
2.29205082112000e+11 9.01532090368000e+11
2.29205082112000e+11 9.01532090368000e+11
2.23938854912000e+11 8.80816553984000e+11
2.23938854912000e+11 8.80816553984000e+11
2.18793869312000e+11 8.60577071104000e+11
2.18793869312000e+11 8.60577071104000e+11
2.13766897664000e+11 8.40802697216000e+11
2.13766897664000e+11 8.40802697216000e+11
2.08855646208000e+11 8.21482553344000e+11
2.08855646208000e+11 8.21482553344000e+11
2.04057083904000e+11 8.02606612480000e+11
2.04057083904000e+11 8.02606612480000e+11
1.99368769536000e+11 7.84164257792000e+11
1.99368769536000e+11 7.84164257792000e+11
1.94788294656000e+11 7.66145658880000e+11
1.94788294656000e+11 7.66145658880000e+11
1.90313119744000e+11 7.48541116416000e+11
1.90313119744000e+11 7.48541116416000e+11
1.85940525056000e+11 7.31340865536000e+11
1.85940525056000e+11 7.31340865536000e+11
1.81668593664000e+11 7.14536124416000e+11
1.81668593664000e+11 7.14536124416000e+11
1.77494736896000e+11 6.98117455872000e+11
1.77494736896000e+11 6.98117455872000e+11
1.73416841216000e+11 6.82076209152000e+11
1.73416841216000e+11 6.82076209152000e+11
1.69432662016000e+11 6.66403143680000e+11
1.69432662016000e+11 6.66403143680000e+11
1.65540020224000e+11 6.51090460672000e+11
1.65540020224000e+11 6.51090460672000e+11
1.61736605696000e+11 6.36129705984000e+11
1.61736605696000e+11 6.36129705984000e+11
1.58020812800000e+11 6.21512622080000e+11
1.58020812800000e+11 6.21512622080000e+11
1.54390413312000e+11 6.07231344640000e+11
1.54390413312000e+11 6.07231344640000e+11
1.50843228160000e+11 5.93278205952000e+11
1.50843228160000e+11 5.93278205952000e+11
1.47377668096000e+11 5.79645800448000e+11
1.47377668096000e+11 5.79645800448000e+11
1.43991635968000e+11 5.66326591488000e+11
1.43991635968000e+11 5.66326591488000e+11
1.40683378688000e+11 5.53313501184000e+11
1.40683378688000e+11 5.53313501184000e+11
1.37451356160000e+11 5.40599353344000e+11
1.37451356160000e+11 5.40599353344000e+11
1.34293479424000e+11 5.28177364992000e+11
1.34293479424000e+11 5.28177364992000e+11
1.31208159232000e+11 5.16040687616000e+11
1.31208159232000e+11 5.16040687616000e+11
1.28193724416000e+11 5.04182996992000e+11
1.28193724416000e+11 5.04182996992000e+11
1.25248512000000e+11 4.92597870592000e+11
1.25248512000000e+11 4.92597870592000e+11
1.22370924544000e+11 4.81278853120000e+11
1.22370924544000e+11 4.81278853120000e+11
1.19559684096000e+11 4.70219849728000e+11
1.19559684096000e+11 4.70219849728000e+11
1.16812693504000e+11 4.59415027712000e+11
1.16812693504000e+11 4.59415027712000e+11
1.14129117184000e+11 4.48858554368000e+11
1.14129117184000e+11 4.48858554368000e+11
1.11507005440000e+11 4.38544531456000e+11
1.11507005440000e+11 4.38544531456000e+11
1.08945235968000e+11 4.28467486720000e+11
1.08945235968000e+11 4.28467486720000e+11
1.06442194944000e+11 4.18622013440000e+11
1.06442194944000e+11 4.18622013440000e+11
1.03996899328000e+11 4.09002835968000e+11
1.03996899328000e+11 4.09002835968000e+11
1.01607612416000e+11 3.99604613120000e+11
1.01607612416000e+11 3.99604613120000e+11
9.92733020160000e+10 3.90422429696000e+11
9.92733020160000e+10 3.90422429696000e+11
9.69925754880000e+10 3.81451108352000e+11
9.69925754880000e+10 3.81451108352000e+11
9.47643023360000e+10 3.72686061568000e+11
9.47643023360000e+10 3.72686061568000e+11
9.25871390720000e+10 3.64122341376000e+11
9.25871390720000e+10 3.64122341376000e+11
9.04601026560000e+10 3.55755458560000e+11
9.04601026560000e+10 3.55755458560000e+11
8.83818168320000e+10 3.47580727296000e+11
8.83818168320000e+10 3.47580727296000e+11
8.63514378240000e+10 3.39593953280000e+11
8.63514378240000e+10 3.39593953280000e+11
8.43674664960000e+10 3.31790647296000e+11
8.43674664960000e+10 3.31790647296000e+11
8.24292802560000e+10 3.24166615040000e+11
8.24292802560000e+10 3.24166615040000e+11
8.05355192320000e+10 3.16717793280000e+11
8.05355192320000e+10 3.16717793280000e+11
7.86853642240000e+10 3.09440118784000e+11
7.86853642240000e+10 3.09440118784000e+11
7.68776192000000e+10 3.02329659392000e+11
7.68776192000000e+10 3.02329659392000e+11
7.51114158080000e+10 2.95382614016000e+11
7.51114158080000e+10 2.95382614016000e+11
7.33859594240000e+10 2.88595247104000e+11
7.33859594240000e+10 2.88595247104000e+11
7.17000376320000e+10 2.81963757568000e+11
7.17000376320000e+10 2.81963757568000e+11
7.00528885760000e+10 2.75484573696000e+11
7.00528885760000e+10 2.75484573696000e+11
6.84433981440000e+10 2.69154435072000e+11
6.84433981440000e+10 2.69154435072000e+11
6.68710625280000e+10 2.62969622528000e+11
6.68710625280000e+10 2.62969622528000e+11
6.53348003840000e+10 2.56927023104000e+11
6.53348003840000e+10 2.56927023104000e+11
6.38338539520000e+10 2.51023294464000e+11
6.38338539520000e+10 2.51023294464000e+11
6.23673671680000e+10 2.45255110656000e+11
6.23673671680000e+10 2.45255110656000e+11
6.09346068480000e+10 2.39619489792000e+11
6.09346068480000e+10 2.39619489792000e+11
5.95347496960000e+10 2.34113384448000e+11
5.95347496960000e+10 2.34113384448000e+11
5.81670215680000e+10 2.28733829120000e+11
5.81670215680000e+10 2.28733829120000e+11
5.68308080640000e+10 2.23477858304000e+11
5.68308080640000e+10 2.23477858304000e+11
5.55251671040000e+10 2.18342621184000e+11
5.55251671040000e+10 2.18342621184000e+11
5.42496399360000e+10 2.13325447168000e+11
5.42496399360000e+10 2.13325447168000e+11
5.30032967680000e+10 2.08423501824000e+11
5.30032967680000e+10 2.08423501824000e+11
5.17856952320000e+10 2.03634294784000e+11
5.17856952320000e+10 2.03634294784000e+11
5.05960898560000e+10 1.98955040768000e+11
5.05960898560000e+10 1.98955040768000e+11
4.94336409600000e+10 1.94383314944000e+11
4.94336409600000e+10 1.94383314944000e+11
4.82981109760000e+10 1.89916643328000e+11
4.82981109760000e+10 1.89916643328000e+11
4.71885905920000e+10 1.85552633856000e+11
4.71885905920000e+10 1.85552633856000e+11
4.61045309440000e+10 1.81288878080000e+11
4.61045309440000e+10 1.81288878080000e+11
4.50453585920000e+10 1.77123115008000e+11
4.50453585920000e+10 1.77123115008000e+11
4.40105574400000e+10 1.73053050880000e+11
4.40105574400000e+10 1.73053050880000e+11
4.29995499520000e+10 1.69076506624000e+11
4.29995499520000e+10 1.69076506624000e+11
4.20117831680000e+10 1.65191335936000e+11
4.20117831680000e+10 1.65191335936000e+11
4.10466263040000e+10 1.61395474432000e+11
4.10466263040000e+10 1.61395474432000e+11
4.01037107200000e+10 1.57686841344000e+11
4.01037107200000e+10 1.57686841344000e+11
3.91824588800000e+10 1.54063372288000e+11
3.91824588800000e+10 1.54063372288000e+11
3.82823342080000e+10 1.50523183104000e+11
3.82823342080000e+10 1.50523183104000e+11
3.74029189120000e+10 1.47064340480000e+11
3.74029189120000e+10 1.47064340480000e+11
3.65437132800000e+10 1.43684993024000e+11
3.65437132800000e+10 1.43684993024000e+11
3.57042257920000e+10 1.40383289344000e+11
3.57042257920000e+10 1.40383289344000e+11
3.48840345600000e+10 1.37157443584000e+11
3.48840345600000e+10 1.37157443584000e+11
3.40826685440000e+10 1.34005735424000e+11
3.40826685440000e+10 1.34005735424000e+11
3.32997652480000e+10 1.30926411776000e+11
3.32997652480000e+10 1.30926411776000e+11
3.25348024320000e+10 1.27917883392000e+11
3.25348024320000e+10 1.27917883392000e+11
3.17874176000000e+10 1.24978470912000e+11
3.17874176000000e+10 1.24978470912000e+11
3.10572052480000e+10 1.22106609664000e+11
3.10572052480000e+10 1.22106609664000e+11
3.03438295040000e+10 1.19300759552000e+11
3.03438295040000e+10 1.19300759552000e+11
2.96467333120000e+10 1.16559331328000e+11
2.96467333120000e+10 1.16559331328000e+11
2.89657200640000e+10 1.13880940544000e+11
2.89657200640000e+10 1.13880940544000e+11
2.83003453440000e+10 1.11264063488000e+11
2.83003453440000e+10 1.11264063488000e+11
2.76502814720000e+10 1.08707315712000e+11
2.76502814720000e+10 1.08707315712000e+11
2.70151106560000e+10 1.06209361920000e+11
2.70151106560000e+10 1.06209361920000e+11
2.63945523200000e+10 1.03768768512000e+11
2.63945523200000e+10 1.03768768512000e+11
2.57882419200000e+10 1.01384257536000e+11
2.57882419200000e+10 1.01384257536000e+11
2.51958476800000e+10 9.90545510400000e+10
2.51958476800000e+10 9.90545510400000e+10
2.46170787840000e+10 9.67783628800000e+10
2.46170787840000e+10 9.67783628800000e+10
2.40516423680000e+10 9.45544970240000e+10
2.40516423680000e+10 9.45544970240000e+10
2.34991677440000e+10 9.23817164800000e+10
