# ./gen_qed_grid -in masters-LUXqed17_PDF4LHC15_nnlo_100/LUXqed17_PDF4LHC15_nnlo_100-mu2-10000-imem-87.dat -Qlo 10 -option 5 -mt 1e9 -iy-inc -1 -pdftype error -out lhapdf-grids/LUXqed17_plus_PDF4LHC15_nnlo_100/LUXqed17_plus_PDF4LHC15_nnlo_100_0087.dat
# Stamped by ./gen_qed_grid on  1/08/2017 at 14:07:46
# option =   5, gluon_momadjust_power =   0.000
 # using LHAPDF, pdf = PDF4LHC15_nnlo_100, imem =           87
 # Qphoton =    100.00000000000000     
# charm mass = 1.2750000E+00, charm_scheme_is_msbar = F
# bottom mass = 4.1799998E+00, bottom_scheme_is_msbar = F
# top mass = 1.0000000E+09, top_scheme_is_msbar = F
 # nloop_qcd =            3
 # nqcdloop_qed =            1
 # 1/QED coupling at MZ =    128.56395142294423     
 # QCD coupling at MZ =   0.11800230075848538     
# ymax =  14.000000,  dy =  0.100000
 # Qlo =   10.000000000000000      , Qhi =    100000.00000000000     
# before readjustments: mom_photon =    0.0031853, mom_gluon =    0.4552774, mom_weighted_gluon =    0.4552774
# total momentum  (final) at Qlo (& components) 0.9994131 0.0000000 0.0048436 0.0138505 0.0222228 0.0337967 0.0386329 0.4520921 0.1312458 0.2565413 0.0243762 0.0137917 0.0048342 0.0000000 0.0000000 0.0031853 0.0000000 0.0000000 0.0000000
# total number  (final) at Qlo (& components)  2.9956303  0.9977620  1.9969667  0.0010515 -0.0001288 -0.0000212  0.0000000
# description = Photon generated at scale   100.0 GeV, other partons matched at scale    10.0 GeV, photon momentum absorbed by adjusting g(x) -> g(x) -  0.00700 * x^{0.000} g(x) at scale     10.0 GeV
# iy_increment =   -1
# dzeta_def =    0.30000, zeta_a =   10.00000, zeta_b =    5.00000
PdfType: error
Format: lhagrid1
---
 8.3152872E-07 1.1212865E-06 1.5120128E-06 2.0388898E-06 2.7493577E-06 3.7073848E-06 4.9992245E-06 6.7411758E-06 9.0900451E-06 1.2257245E-05 1.6527794E-05 2.2285915E-05 3.0049506E-05 4.0516550E-05 5.4627554E-05 7.3649487E-05 9.9288502E-05 1.3384109E-04 1.8039640E-04 2.4310624E-04 3.2754425E-04 4.4118124E-04 5.9401019E-04 7.9936044E-04 1.0749453E-03 1.4441868E-03 1.9378493E-03 2.5959859E-03 3.4701362E-03 4.6256093E-03 6.1435207E-03 8.1220430E-03 1.0676124E-02 1.3934832E-02 1.8035677E-02 2.3115844E-02 2.9301267E-02 3.6695443E-02 4.5370399E-02 5.5361774E-02 6.6668768E-02 7.9258282E-02 9.3071636E-02 1.0803208E-01 1.2405167E-01 1.4103685E-01 1.5889232E-01 1.7752363E-01 1.9683852E-01 2.1674753E-01 2.3716418E-01 2.5800482E-01 2.7918855E-01 3.0063709E-01 3.2227485E-01 3.4402909E-01 3.6583026E-01 3.8761244E-01 4.0931381E-01 4.3087716E-01 4.5225035E-01 4.7338666E-01 4.9424503E-01 5.1479017E-01 5.3499251E-01 5.5482802E-01 5.7427791E-01 5.9332826E-01 6.1196956E-01 6.3019625E-01 6.4800619E-01 6.6540022E-01 6.8238165E-01 6.9895587E-01 7.1512993E-01 7.3091218E-01 7.4631202E-01 7.6133955E-01 7.7600544E-01 7.9032067E-01 8.0429639E-01 8.1794382E-01 8.3127410E-01 8.4429826E-01 8.5702710E-01 8.6947121E-01 8.8164084E-01 8.9354598E-01 9.0519626E-01 9.1660096E-01 9.2776904E-01 9.3870909E-01 9.4942938E-01 9.5993782E-01 9.7024199E-01 9.8034916E-01 9.9026628E-01 1.0000000E+00
 1.0000000E+01 1.1234806E+01 1.2659297E+01 1.4307519E+01 1.6220454E+01 1.8447586E+01 2.1048871E+01 2.4097196E+01 2.7681476E+01 3.1910572E+01 3.6918243E+01 4.2869461E+01 4.9968470E+01 5.8469126E+01 6.8688212E+01 8.1022659E+01 9.5971915E+01 1.1416713E+02 1.3640937E+02 1.6372003E+02 1.9740732E+02 2.3915485E+02 2.9113982E+02 3.5619166E+02 4.3800614E+02 5.4143578E+02 6.7288588E+02 8.4085756E+02 1.0566967E+03 1.3356326E+03 1.6982275E+03 2.1724107E+03 2.7963523E+03 3.6225477E+03 4.7236606E+03 6.2009390E+03 8.1964185E+03 1.0910740E+04 1.4629356E+04 1.9761344E+04 2.6897347E+04 3.6896708E+04 5.1019543E+04 7.1128563E+04 1.0000000E+05
  -5  -4  -3  -2  -1  21   1   2   3   4   5  22
  2.0475175E+00  4.6401010E+00  5.7347086E+00  5.8233076E+00  5.9093861E+00  1.0560774E+02  5.9102799E+00  5.8246880E+00  5.7347037E+00  4.6401570E+00  2.0475266E+00  2.8080625E-01
  2.4400556E+00  5.0191566E+00  6.1095642E+00  6.1983557E+00  6.2836872E+00  1.1648123E+02  6.2846006E+00  6.1997693E+00  6.1095590E+00  5.0192147E+00  2.4400663E+00  3.0207175E-01
  2.8559127E+00  5.4216932E+00  6.5079584E+00  6.5969318E+00  6.6815337E+00  1.2824183E+02  6.6824668E+00  6.5983790E+00  6.5079529E+00  5.4217533E+00  2.8559249E+00  3.2521604E-01
  3.2962989E+00  5.8489138E+00  6.9310940E+00  7.0202374E+00  7.1041278E+00  1.4092883E+02  7.1050807E+00  7.0217184E+00  6.9310881E+00  5.8489759E+00  3.2963126E+00  3.5038328E-01
  3.7624579E+00  6.3020555E+00  7.3802072E+00  7.4695078E+00  7.5527056E+00  1.5458193E+02  7.5536784E+00  7.4710227E+00  7.3802008E+00  6.3021195E+00  3.7624730E+00  3.7772781E-01
  4.2556668E+00  6.7823887E+00  7.8565683E+00  7.9460117E+00  8.0285373E+00  1.6924124E+02  8.0295301E+00  7.9475610E+00  7.8565614E+00  6.7824547E+00  4.2556833E+00  4.0741475E-01
  4.7772370E+00  7.2912182E+00  8.3614818E+00  8.4510524E+00  8.5329272E+00  1.8494726E+02  8.5339401E+00  8.4526362E+00  8.3614744E+00  7.2912860E+00  4.7772549E+00  4.3962066E-01
  5.3285137E+00  7.8298823E+00  8.8962866E+00  8.9859667E+00  9.0672140E+00  2.0174084E+02  9.0682471E+00  8.9875854E+00  8.8962786E+00  7.8299519E+00  5.3285329E+00  4.7453430E-01
  5.9108761E+00  8.3997537E+00  9.4623559E+00  9.5521259E+00  9.6327706E+00  2.1966318E+02  9.6338241E+00  9.5537797E+00  9.4623472E+00  8.3998251E+00  5.9108966E+00  5.1235734E-01
  6.5257376E+00  9.0022391E+00  1.0061097E+01  1.0150935E+01  1.0231004E+01  2.3875579E+02  1.0232078E+01  1.0152625E+01  1.0061088E+01  9.0023123E+00  6.5257593E+00  5.5330514E-01
  7.1745456E+00  9.6387791E+00  1.0693952E+01  1.0783834E+01  1.0863357E+01  2.5906046E+02  1.0864452E+01  1.0785559E+01  1.0693942E+01  9.6388540E+00  7.1745685E+00  5.9760763E-01
  7.8587816E+00  1.0310848E+01  1.1362397E+01  1.1452296E+01  1.1531305E+01  2.8061921E+02  1.1532420E+01  1.1454057E+01  1.1362386E+01  1.0310925E+01  7.8588056E+00  6.4551013E-01
  8.5799608E+00  1.1019955E+01  1.2067942E+01  1.2157827E+01  1.2236357E+01  3.0347429E+02  1.2237493E+01  1.2159625E+01  1.2067930E+01  1.1020033E+01  8.5799860E+00  6.9727432E-01
  9.3396323E+00  1.1767640E+01  1.2812132E+01  1.2901969E+01  1.2980058E+01  3.2766814E+02  1.2981216E+01  1.2903803E+01  1.2812119E+01  1.1767720E+01  9.3396586E+00  7.5317920E-01
  1.0139378E+01  1.2555480E+01  1.3596543E+01  1.3686295E+01  1.3763986E+01  3.5324334E+02  1.3765165E+01  1.3688166E+01  1.3596529E+01  1.2555562E+01  1.0139406E+01  8.1352208E-01
  1.0980815E+01  1.3385082E+01  1.4422787E+01  1.4512412E+01  1.4589751E+01  3.8024258E+02  1.4590952E+01  1.4514321E+01  1.4422772E+01  1.3385165E+01  1.0980843E+01  8.7861972E-01
  1.1865590E+01  1.4258087E+01  1.5292509E+01  1.5381961E+01  1.5458998E+01  4.0870864E+02  1.5460220E+01  1.5383907E+01  1.5292493E+01  1.4258171E+01  1.1865620E+01  9.4880943E-01
  1.2795386E+01  1.5176167E+01  1.6207385E+01  1.6296612E+01  1.6373404E+01  4.3868434E+02  1.6374648E+01  1.6298597E+01  1.6207369E+01  1.5176253E+01  1.2795416E+01  1.0244503E+00
  1.3771914E+01  1.6141028E+01  1.7169126E+01  1.7258069E+01  1.7334677E+01  4.7021252E+02  1.7335943E+01  1.7260092E+01  1.7169108E+01  1.6141115E+01  1.3771946E+01  1.1059243E+00
