  -5  -4  -3  -2  -1  21   1   2   3   4   5  22
  1.4809215E+01  1.7168596E+01  1.8189989E+01  1.8295241E+01  1.8357403E+01  5.0355048E+02  1.8358817E+01  1.8297448E+01  1.8189501E+01  1.7168685E+01  1.4809247E+01  1.1942029E+00
  1.5884676E+01  1.8232466E+01  1.9250916E+01  1.9355550E+01  1.9417875E+01  5.3831589E+02  1.9419310E+01  1.9357797E+01  1.9250426E+01  1.8232556E+01  1.5884709E+01  1.2886185E+00
  1.7012202E+01  1.9348417E+01  2.0364026E+01  2.0467967E+01  2.0530533E+01  5.7476222E+02  2.0531990E+01  2.0470253E+01  2.0363535E+01  1.9348509E+01  1.7012236E+01  1.3901666E+00
  1.8193630E+01  2.0518277E+01  2.1531154E+01  2.1634317E+01  2.1697212E+01  6.1293202E+02  2.1698691E+01  2.1636643E+01  2.1530662E+01  2.0518369E+01  1.8193665E+01  1.4993356E+00
  1.9430827E+01  2.1743900E+01  2.2754163E+01  2.2856455E+01  2.2919775E+01  6.5286769E+02  2.2921277E+01  2.2858822E+01  2.2753670E+01  2.1743994E+01  1.9430863E+01  1.6166439E+00
  2.0725688E+01  2.3027172E+01  2.4034946E+01  2.4136265E+01  2.4200116E+01  6.9461143E+02  2.4201640E+01  2.4138673E+01  2.4034452E+01  2.3027267E+01  2.0725725E+01  1.7426424E+00
  2.2080139E+01  2.4370003E+01  2.5375424E+01  2.5475658E+01  2.5540154E+01  7.3820517E+02  2.5541701E+01  2.5478107E+01  2.5374929E+01  2.4370099E+01  2.2080176E+01  1.8779154E+00
  2.3496128E+01  2.5774330E+01  2.6777546E+01  2.6876569E+01  2.6941838E+01  7.8369059E+02  2.6943408E+01  2.6879060E+01  2.6777050E+01  2.5774428E+01  2.3496167E+01  2.0230834E+00
  2.4975635E+01  2.7242117E+01  2.8243285E+01  2.8340961E+01  2.8407143E+01  8.3110904E+02  2.8408737E+01  2.8343495E+01  2.8242788E+01  2.7242217E+01  2.4975674E+01  2.1788044E+00
  2.6520661E+01  2.8775353E+01  2.9774642E+01  2.9870823E+01  2.9938069E+01  8.8050156E+02  2.9939686E+01  2.9873399E+01  2.9774144E+01  2.8775453E+01  2.6520700E+01  2.3457764E+00
  2.8133234E+01  3.0376047E+01  3.1373643E+01  3.1468163E+01  3.1536640E+01  9.3190875E+02  3.1538281E+01  3.1470783E+01  3.1373143E+01  3.0376149E+01  2.8133274E+01  2.5247392E+00
  2.9815406E+01  3.2046235E+01  3.3042336E+01  3.3135017E+01  3.3204907E+01  9.8537084E+02  3.3206571E+01  3.3137680E+01  3.3041835E+01  3.2046338E+01  2.9815447E+01  2.7164773E+00
  3.1569250E+01  3.3787973E+01  3.4782793E+01  3.4873439E+01  3.4944939E+01  1.0409276E+03  3.4946628E+01  3.4876147E+01  3.4782291E+01  3.3788077E+01  3.1569292E+01  2.9218215E+00
